image_path,label,pred_base,cer_base,pred_finetuned,cer_finetuned
FORM_PM_POP_GRAND_MALL_BEKASI/copy.png,27.,127.,0.3333333333333333,27,0.3333333333333333
POP-CILEUNYI/page10_0011.png,pop cileunyi,""" prop pileunyl",0.4166666666666667,Pop cikalong,0.5
POP-CILEUNYI/page10_0026.png,DWDM Nokia (pss 8),duum nigric CP.S. B ),0.6111111111111112,DWDM Nokia (PSS8),0.05555555555555555
POP-WISMA-BUMI-PUTERA/page10_0026.png,Battery berfungsi dengan baik,"Battery herfungs, dengan back",0.10344827586206896,Battery berfungsi dengan baik,0.0
POP-CILEUNYI/page10_0027.png,OK,ok,0.0,OK,0.0
POP-CILEUNYI/page10_0029.png,DWDM Adva,dividination,1.0,DWDM Adva,0.0
POP-CILEUNYI/page10_0032.png,ok,ok,0.0,ok,0.0
POP-CILEUNYI/page10_0033.png,XR Gpon,xirgeon.,0.5714285714285714,XR Gpon,0.0
POP-CILEUNYI/page10_0035.png,OK,ok,0.0,ok,0.0
POP-WISMA-BUMI-PUTERA/page10_0035.png,M.Firdaus,m.firdans.,0.2222222222222222,M.Firdaus,0.0
POP-CILEUNYI/page10_0036.png,MA,mia,0.5,4A,0.5
POP-WISMA-BUMI-PUTERA/page10_0036.png,PT.lintasarta,jpruntasarta,0.38461538461538464,PT.lintasarta,0.0
POP-CILEUNYI/page10_0038.png,Huawei,plummer.,1.0,Huawei,0.0
POP-CILEUNYI/page10_0040.png,OK,oki,0.5,OK,0.0
POP-WISMA-BUMI-PUTERA/page10_0040.png,Fendi,fendi,0.0,Fendi,0.0
POP-CILEUNYI/page10_0044.png,tangga,fangga,0.16666666666666666,Tunggu,0.3333333333333333
POP-CILEUNYI/page10_0046.png,Apar,apaf,0.25,Apar,0.0
POP-CILEUNYI/page10_0047.png,OK,ok,0.0,ok,0.0
POP-CILEUNYI/page10_0049.png,RectiFier,rectifier.,0.1111111111111111,RectiFier,0.0
POP-CILEUNYI/page10_0050.png,Inverter,philerger.,0.75,Inverter,0.0
POP-CILEUNYI/page10_0052.png,Exhaust Fan tidak berfungsi,"exhaust fan # trick barfungs,",0.25925925925925924,"Exabersihkan, Tidak berfungsi",0.2962962962962963
POP-CILEUNYI/page10_0061.png,M.Firdaus,implifications.,1.0,M.Firdaus,0.0
POP-CILEUNYI/page10_0062.png,PT.lintasarta,jPL. lintasarta,0.23076923076923078,PT.lintasarta,0.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0011.png,Grand Mall Bekasi,Grandmall Bekasi,0.058823529411764705,Grendi adi Pengusaki,0.6470588235294118
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0013.png,"Selasa, 09.09.2025","sclaga,000695",0.5555555555555556,"Selasa, 09. 2025",0.16666666666666666
POP-BBU_WISMA_BUMI_PUTERA/page1_0013.png,"Senin, 08 Desember 2025",""" ischrift on December 2025",0.4782608695652174,"Senin, 07 Desember 2025",0.043478260869565216
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0016.png,Shelter,isvineltier.,0.8571428571428571,Standar,0.7142857142857143
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0028.png,Bersih,bersin.,0.3333333333333333,Berksih,0.16666666666666666
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0029.png,OK,ok,0.0,ok,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0029.png,standar,standar,0.0,standar,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0030.png,ok,ok,0.0,ok,0.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0033.png,Kuat,knat,0.25,Kabel,1.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0034.png,ok,ok,0.0,ok,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0034.png,Standar,guardar,0.42857142857142855,standar,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0035.png,ok,ok,0.0,ok,0.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0039.png,ok,ok,0.0,ok,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0040.png,ok,ok,0.0,ok,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0041.png,standar,standor.,0.2857142857142857,standar,0.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0043.png,Aman,aman,0.0,Ariaman,0.75
POP-BBU_WISMA_BUMI_PUTERA/page1_0044.png,standar,standor.,0.2857142857142857,standar,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0045.png,ok,olz,1.0,ok,0.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0047.png,Normal,normal,0.0,Normal,0.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0049.png,Ok,ok,0.0,ok,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0050.png,standar,glander.,0.5714285714285714,Standar,0.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0054.png,OK,ok,0.0,OK,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0056.png,ok,ok,0.0,ok,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0063.png,dibersihkan,deberschikan,0.2727272727272727,dibersihkan,0.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0064.png,Adi,adi,0.0,Ada,0.3333333333333333
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0065.png,IMS,tats,1.0,"10,5",1.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0067.png,IMS,ims.,0.3333333333333333,14.5,1.0
FORM_PM_POP_GRAND_MALL_BEKASI/page1_0068.png,Suyitno,isuvvitno,0.42857142857142855,54verptember,1.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0073.png,PT.lintasarta,tipt-linkawarta.,0.46153846153846156,PT.lintasarta,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0074.png,M.Firdaus,m-pirdown.,0.6666666666666666,M.Firdaus,0.0
POP-BBU_WISMA_BUMI_PUTERA/page1_0078.png,fendi Adi,Fendi Adi,0.0,Fendi Adi,0.0
POP-CILEUNYI/page2_0011.png,Pop cileunyi,Pop Mileussy!,0.3333333333333333,Pop Ci,0.5
POP-PADALARANG/page2_0011.png,Pop padalarang (BDGBBP),"pop paddarrang, ( BPE 13BPI",0.4782608695652174,Pop Padalarang (BDGBBP),0.0
POP-WISMA-BUMI-PUTERA/page2_0011.png,Putera,pentafore,1.0,Penerarta,0.8333333333333334
FORM_PM_POP_GRAND_MALL_BEKASI/page2_0012.png,Grandmall Bekasi,Grandmall Bokaisi,0.125,GrondingumiBDgan Baik,0.875
POP-PADALARANG/page2_0012.png,"Rabu, 15 Okt 2025",""" probably's older so?",1.0,"Rabu, 15 Okt 2025",0.0
POP-WISMA-BUMI-PUTERA/page2_0012.png,"Jum,at 17 oktober 2025",""" Sumner 17 October 2025",0.3181818181818182,"Jum'at, 17 Oktober 2025",0.09090909090909091
